"SpeciesID","GenusID","Species","SAuthor","NameDK","NameUK","SBiolEuDK","SBiolEuUK","SCharDK","SCharUK","MSize","FSize","SHabEuDK","SHabEuUK","SHabDkDK","SHabDkUK","SDistriEuDK","SDistriEuUK","SDistriDkDK","SDistriDkUK"
123,38,"cristatus","(Clerck, 1757)","Almindelig krabbeedderkop","Common ground crab spider",,,"Den bagerste spids af den mørke trekant i den lyse midterstribe slutter i et veldefineret mørkt punkt ca. to trediedele tilbage på rygskjoldet. Hunnen meget variabel i bagkropstegninger og farve. Hannen er meget lig hunnen, men er mørkere og mindre.","The dark triangle on the carapace extends back about two thirds of the length of the carapace from the posterior row of eyes, and ends in a well-defined dark point. The female abdomen is very variable in colouration and markings. Male as female but smaller and darker.","3-5","6-8","Buske, lav vegetation eller ved jordoverfladen i mange forskellige habitater.","Low vegeation and ground level in a variety of situations.",,,"Den almindeligste art i slægten, kendt fra alle landsdele. Vidt udbredt og almindelig i Europa.","Common and widespread in Denmark and Europe.",,
124,38,"audax","(Schrank, 1803) ",,,,,,,,,,,,,,,,
125,38,"kochi","Thorell, 1872",,,,,"Meget lig <i>X. cristatus</i>, men hunnen er mørkere gråbrun, mens hannen er næsten sort.","Similar to <i>X. cristatus</i> but the female is mor greyish-brown and the male is almost black.","4-5","6-8","Steder med urtevegetation og buske såsom enge, haver, parker. Hanner ses sommetider på mure om foråret, hvor de kan være meget iøjnefaldende.","Places with herbage and bushes such as meadows, gardens and parks. Males are sometimes seen crawling  on walls in spring in which situation they can be very easy to spot.",,,"Vidt udbredt i Danmark og Europa, men ikke særlig almindelig.","Widespread in Denmark but rather uncommon. Perhaps more common in remaining Europe.",,
126,38,"erraticus","(Blackwall, 1834)",,,,,"Det lyse midterbånd på carapax er hos hunnen bred, og de mørke laterale bånd smalle og som regel tydelige. Det mørke trekantede felt  bag øjenregionen, som er tydelig hos en del af slægtens arter,  er hos denne art kun svagt erkendelig eller manglende, i det feltet ikke farvemæssigt afviger fra forkroppens grundfarve. Det trekantede felt er dog omgivet af tynde, hvidgule striber. Hunnens bakrop er ret lys med folium undertiden reduceret til nogle mørkere pletter. Hannen er betydeligt mørkere end hunnen, men har dog også hunnens hvidgule striber omkring det trekantede felt. De to forreste benpar er hos hannen er iøjnefaldende sorte.","The pale median band on the female  carapace is broad with its dark lateral stripes rather narrow and well-defined. The triangle enclosed by the median band is faint or lacking, however its borders are marked with fine whitish-yellow stripes. The abdomen is rather pale and the folium is light-brownish, sometimes reduced to spots.The male is much darker than the female, but the triangle of the median band is also bordered with whitish-yellow stripes. The male is also characterized by having legs I and II clearly darker than legs III and IV.","4-5","6-8","Basis af lav vegetation, typisk heder og overdrev.","On the base of low vegetation, typically in heath- and dry grassland.",,,"Vidt udbredt i Danmark og Europa og ret almindelig i egnede habitater.","Widespread in Denmark and Europe and fairly common in suitable habitats.",,
127,38,"lanio","C. L. Koch, 1835",,,,,,,,,,,,,,,,
128,38,"ulmi","(Hahn, 1831)",,,,,"Et godt kendetegn hos denne art er den langstrakte trekant i det lyse midterbånd på forkroppen. Også bagkroppen er relativ langstrakt i forhold til slægtens øvrige arter. Folium er brunligt med nogle lyse tværbånd bagerst. Benene er sortprikkede. Hannen er mørkere end hunnen, og har femora og patella på de to første benpar sorte.","The triangle of the carapace and the abdomen are much more elongate in this species compared to the other members of the genus. Folium brownish with some whitish transverse lines posteriorly. Legs with fine spots. The male is darker than the female and the patella and femora of legs I and II are black.","4","5-8","På lav vegetation i moser, sumpe, fugtige enge og andre våde steder.","On low vegetation i damp places such as fens, moors, damp meadows etc.",,,"Almindelig i egnet habitat,  kendt fra stort set hele Danmark. Vidt udbredt i Europa, men lokal på grund af habitat krav.","Widespread in Denmark and Europa and fairly common in appropriate habitats.",,
129,38,"bifasciatus","C. L. Koch, 1837",,,,,"Denne art hører sammen med den sjældne <i>X. luctator</i> til de største danske arter i slægten. Størrelsen sammen med farvetegningerne gør arten let identificerbar. Hunnen ligner lidt <i>X. ulmi</i> hunnen, men er større, har flere hår på forkroppen og lyserød bagkrop med brunt folium. Benene er med mørke striber og prikker, især på femora og tibia. Hannen er ret mørk, og har samme størrelse som hunnerne af de fleste andre arter. Midterbåndet på forkrop meget karakteristisk med de lyst flødegule streger som omslutter et brunt felt. Benpar I og II med femora og patella mørke.","This species and the very rare <i>X. luctator</i> are the largest members of the genus occurring in Denmark. The body size and the distinct pattern make it a striking and easily identified spider. Female resemble  <i>X. ulmi</i> females but is larger with more bristles and the abdomen is pinkish with brown folium. The legs are robust with dark lines and spots, especially femora and tibia. The male is dark and is of the same size as females of most other species of the genus. The median band on the carapace encompass a brown area enclosed by distinct whitish-yellow lines. Legs I and II have dark femora and patella.","6-7","7-10","På græs og under sten på varme, typisk sandede overdrev.","On grass and under stones in warm, dry, sandy or chalk grassland.",,,"Vidt udbredt men ret ualmindelig i Danmark og Europa.","Widespread in Denmark and Europe but fairly uncommon.",,
130,38,"luctator","L. Koch, 1870",,,,,,,,,,,,,,,,
131,38,"sabulosus","(Hahn, 1832)",,,,,,,,,,,,,,,,
132,38,"luctuosus","(Blackwall, 1836)",,,,,,,,,,,,,,,,
136,39,"scabricula","(Westring, 1851)",,,,,,,,,,,,,,,,
137,39,"claveata","(Walckenaer, 1837) ",,,,,,,,,,,,,,,,
139,39,"praticola","(C. L. Koch, 1837)",,,,,"Lille gråbrun art, hvor han og hun er ret ens i farver og tegninger. Forkrop mørkebrun med rød-  til gråbrunt midterbånd. Bagkrop gråbrun med brunsorte og hvidgule pletter af varierende størrelse.Sternum (brystplade) med karakteristisk udseende, gul med en stor brun plet eller streg i midtlinien og tre pletter ud for coxa I-III og en fælles plet for coxa IV.","Small greyish-brown species, both sexes rather similar in colouration and markings. The carapace is dark brown with reddish or greyish-brown median band. Abdomen greyish-brown with brownish-black and whitish-yellow spots of varying size. Sternum highly characteristic, with a distinct pattern of yellow and brown. There is a brown spot or longitudinal line in the centre and there are brown spots opposite coxa of each leg I-III and one spot at posterior end.","2.5-3","3-4","Lav vegetation, buske og træer (under bark), undertiden også mure. Ret almindelig i haver, parker, kirkegårde og undertiden også i nåleskov og ved kystskrænter med urtevegetation.","Low vegetation, busher and trees (Under bark), sometimes also walls. Fairly common i gardens, parks,and especially coniferous forests.",,,"Vidt udbredt og almindelig i Danmark og Europa.","Widespread and commom in Denmark and Europe.",,
140,39,"trux","(Blackwall, 1846)",,"Yellow leaflitter crab spider",,,"Arten er udseendemæssigt meget lig <i>O. atomaria</i>, men er en anelse mindre. Endvidere har hunnen mindre tydelige mørke laterale bånd på rygskjoldet. De sorte pletter på bagkroppen er dog mere fremtrædende.","The male is darker in coloration than the female. The male carapace is brown with wide dark bands flanking the median area, which is widest posterior to the eyes. In addition, there are dark submarginal bands almost reaching the edge. The abdomen is brown with some darker blotches, an indistinct white cardiac mark, and some white transverse lines in posterior half. The female carapace is light yellowish brown with much narrower dark bands than the female and with the lateral bands sometimes absent. The abdomen is marked much like the male, but the colouration is lighter and dominated by light colours.","3.3-4","4-5.5","I lav vegetation og ved jordoverfladen i førn og mos i forskellige habitattyper, gerne fugtige og med halvskygge.","Low vegetation, at ground level in leaf litter, detritus and moss in a variety of usually damp and partly shaded situations.",,,"Kendt fra alle landsdele og relativ almindelig. Vidt udbredt og almindelig i Europa.","Common and widespread in Denmark and Europe.",,
142,39,"atomaria","(Panzer, 1801)",,"Greater leaflitter crab spider",,,"<i>Ozyptila atomaria</i>  er en af de største jordkrabbeedderkopper vi har i Danmark. Det er en ret lys art som kan forveksles med den nærtstående, og ligeledes almindelige <i>Ozyptila trux</i>. Hannen hos denne art har dog en spids tibial apofyse (udvækst fra palpen), hvorimod  apofysen hos <i>Ozyptila atomaria</i> er stump. Den stumpe udvækst ses tydeligt på nedenstående billede af en han. De clavate hår på for- og bagkrop er meget små og mangler helt på hannens forkrop. Der er kun ganske få mørke pletter på bagkroppen. Benene ensfarvede lysebrune hos hunnen, mens de er rødbrune hos hannen.","<i>Ozyptila atomaria</i> is one of the larger species in the genus. The male carapace is dark reddish brown with wide black submarginal bands. Dorsum of abdomen greyish brown with indistinct darker spots. Front and sides whitish. The tibial apophysis is blunt. The legs are reddish-brown. The clavate hairs on the carapace and abdomen are absent in males (very small in females). The female carapace is yellowish brown and the submarginal bands less distinct than i males. Dorsum of abdomen is light brown with only a few dark, scattered spots. The legs are light brown in the female.","3-4.5","4.5-6.5","Tæt ved jordoverfladen i lav vegetation, førn og mos, især heder, overdrev og klitter.","At ground level, amongst leaf litter, detritus and moss, particularly in heathland, dry grassland, and coastal dunes.",,,"Kendt fra det meste af Danmark og ret almindelig. Vidt udbredt i Danmark og Europa.","Fairly common throughout Denmark and Europe.",,
143,39,"brevipes","(Hahn, 1826)",,,,,"Ret lille art. Hunnens forkrop brun-mørkebrun i siderne, med blegere områder i kanten. Midterbånd er gulbrunt . Bagkrop er hvidlig med brudte, sorte tværstreger. Få, ret tydelige clavate hår. Hannen har mørkere bagkrop, og ligner <i>O. praticola</i>.","A fairly small species. The female carapace is brown-dark brown, paler at sides. The central band is yellowish-brown. The abdomen is whitish with broken black transverse lines. A few clavate hairs is scattered on the abdomen. The male is darker and resemble  <i>O. praticola</i>.","2-3","3-4","Ved basis af vegetation og i mos og førn. I Danmark kender jeg arten fra fugtige habitater, både rig- og fattigkær, herunder klitlavninger. Arten kan eksempelvis lokaliseres i topstar tuer og i førn under mose-pors. Skulle også kunne findes på kalkoverdrev.","At the basis of low vegetation and in moss and detritus. In Denmark I have recorded this species from both rich and poor fens, including damp depressions in coastal dunes. The species can be localised in <i>Carex paniculata</i> tussocks and in <i>Myrica gale</i> litter. In Europe also on chalk grassland.",,,"Vidt udbredt i Danmark og Europa, men ikke særlig almindelig.","Widespread i Denmark and Europa but rather uncommon.",,
144,40,"dispar","Walckenaer, 1826",,,,,,,,,,,,,,,,
145,40,"aureolus","(Clerck, 1757) ",,,,,,,,,,,,,,,,
146,40,"praedatus","O. P.-Cambridge, 1871",,,,,,,,,,,,,,,,
147,40,"cespitum","(Walckenaer, 1802)",,,,,"Denne art er tidligere blevet betragtet som en underart af <i>P. aureolus</i>, som den ligner meget både i udseende og størrelse. Tegningerne på bagkroppen er lidt mere kontrastrige, især hjertemærket er tydeligere afgrænset. Hannen ligner hanner af  både <i>P. aureolus</i> and <i>P. collinus</i>, men er dog ofte mindre metalskinnende. Sikker artsbestemmelse kræver sammenligning af udvendige kønsorganer (palper og epigyner) med tegninger fra bestemmelseslitteraturen ved brug af stereolup.","The markings and size of the female is very similar to the female of <i>P. aureolus</i>. However, the abdominal markings is often with more contrast, especially the cardiac mark has more clear boundaries. Male very similar to males of <i>P. aureolus</i> and <i>P. collinus</i>, however frequently with less metallic lustre. Reliable species identification require examination of genitialia under the microscope and comparison with drawings in the literature.","4","5-6","På urtevegetation, buske og nedre grene af træer.","Bushes and trees, sometimes also on herbage.",,,"Almindelig i Danmark og Europa.","Widespread and common in Denmark and Europe.",,
148,40,"longipalpis","Simon, 1870",,,,,,,,,,,,,,,,
150,40,"collinus","C. L. Koch, 1835",,,,,,,,,,,,,,,,
151,40,"fallax","Sundevall, 1833",,,,,,,,,,,,,,,,
152,40,"histrio","(Latreille, 1819)",,,,,"Måske den smukkeste art i slægten med et meget karakteristisk farvemønster, som gør forveksling med andre arter vanskelig. Forkroppen med mørke sidebånd med hvid yderkant, og med en mørk centerline bagerst. Bagkroppen med mørkt hjertemærke omkranset af kontrastrige, hvide tegninger. Bagkroppens sider har to hvide skråstreger i mørkt rødbrune felter. Benene er rødbrune med hvidgule ringtegninger. Hannen er mindre, slankere og mørkere i farven.","The distinct colouration of this handsome species makes it impossible to confuse it with any other member of the genus. The carapace has dark lateral bands with white edges and a dark centerline in the posterior half. Abdomen with a dark cardiac mark surrounded with contrastingly white lines. In each side there are two oblique white lines on a reddish brown background. The legs are reddish-brown with whitish-yellow annulations. The male is slimmer, slightly smaller and darker than the female.","5-6","6-7","Varme heder og skovkanter, især på lyngbuske.","Warm heathland and forest edges, primarily on heather.",,,"Denne art er knyttet til lyng og findes derfor primært i Jylland. Arten er dog også fundet i Nordsjælland og på Bornholm. Vidt udbredt i Europa men ikke særlig almindelig.","I Denmark this species is mainly found in Jutland since this part of the country is relatively richer in heathland. Widespread in Europe but rather uncommon.",,
154,40,"albidus","Kulczynski, 1911",,,,,"Meget lys art som ligner den nærtstående <i>P. rufus</i>, der dog er større og ofte har et rødligt skær på grund af små røde prikker. Den røde farve er dog ikke et sikkert feltkendetegn, og sikker artsadskillelse kan kun foretages ved at sammenligne de udvendige kønsorganer under stereolup. <i>Philodromus albidus</i> har samme tegninger som hunnen af <i>P. dispar</i>, men er betydeligt lysere. Den lyse farve skyldes at hele edderkoppen er tæt beklædt med hvide hår som lysner de underliggende gule og brune tegninger. Forkroppen har brede brune lateralebånd med hvid kant. Bagkrop gullig med mørkere hjertemærke og mindre brune pletter og prikker. Hvor behåringen er tæt virker edderkoppen næsten hvid. Benene er ensfarvede lysegrønne. Hannen ligner hunnen men er lidt mindre.","A very pale species very similar to the somewhat larger <i>P. rufus</i>. The latter species is frequently is finely spottet with pink giving an overall reddish or pinkish appearance. However, the colour is not a reliable field characteristic to separate the species. Definite species identification is only possibly by examinating the genitialia under the microscope.  <i>Philodromus albidus</i> is similar in general appearance to the female of <i>P. dispar</i>, but is much paler due to a dense clothing of light hairs that whitens the underlying brown and yellow markings. The carapace has wide brown lateral bands with thin white edges. The abdomen is yellowish with brownish cardiac mark, and some brownish spots of varying size. The legs are uniformly pale greenish yellow. Male similar to female but smaller.","3-3.5","3.5-5","Buske og nedre grene på træer. Skovkanter og spredte træer og buske i lysninger og på overdrev.","Bushes and lower branches of trees of forest edges, open forests and solitary trees in grassland.",,,"Fundet første gang i Danmark i 2005 på en midtjysk lokalitet. Vidt udbredt i Europa, sjælden mod nord, almindelig i Mellemeuropa.","Recorded for the first time in 2005 in Denmark, where a female was swept from a tree in central Jutland. Widespread in Europe, rare or absent in the north but fairly common in Central Europe.",,
156,40,"margaritatus","(Clerck, 1757)",,,,,"Kroppen hos denne art er udpræget bred og flad. Bagkropstegninger og farver er meget variable. Ikke desto mindre kan individer grupperes til to former, en grå farvevariant med udflydende mørkebrune pletter i varierende størrelser, samt en mere kontrastrig grønlig-hvid farvevariant med store mørke pletter (forma <i>laevipes</i>). Begge farvevarianter er fantastisk velcamouflerede, forma <i>laevipes</i> tilpasset lavbegroet bark. Benene med tydelige lyse og mørke ringtegninger.","This species has a broad, flattened body. The markings on the abdomen is variable, nevertheless two distinct colourforms can be separated. One grey colourform is characterised by greyish colurs mottled with brownish spots of varying size, while a second form has greenish-white abdomen contrasted with large dark blotches (forma <i>laevipes</i>). The latter form is extremely well-camouflaged on lichen-covered stems. Legs have clear annulations of dark and light colours.","4-5","5-6","Lysåbne, varme fyrreskove hvor arten kan børstes fra stammer eller ketches fra grene.","Open, warm pineforests where the species can be brushed from stems or swept from branches.",,,"Sjælden i Danmark, men kan være overset da arten er ret svær at finde, især voksne individer. Kendt fra Midtjylland, Nordjylland samt Nordsjælland. Vidt udbredt i Europa og mere almindelig mod syd.","Rare, but widespread in Denmark. Widespread in Europe, and commoner to the south.",,
157,41,"striatus","C. L. Koch, 1845",,,,,"Den mindste <i>Thanatus</i> art i Europa. Forkrop med et lyst midterbånd delt på midten af mørk midtstribe. På hver side af midterbåndet ses mørkere sidebånd.  Båndene er delvist sløret af hvide hår. Bagkrop lysebrun med langt hjertemærke, flankeret af mørke bølgede linier på hver side der konvergerer mod spindevorterne. Bagkrop med spredte, ret lange opstigende mørke hår. Benene gulbrune med meget fine mørke pletter, tiltrykte hvidgule hår og lange torne. På afstand virker benene ensfarvede. Hannen mørkere og mindre end hunnen, og med mere udflydende farvetegninger.","One of the smallest <i>Thanatus</i> species in Europe. The carapace with one median and two lateral dark bands somewhat obscured by light hairs. Abdomen light brown with elongate cardiac mark. At each side there are dark sinuous lines converging towards the spinners. With many erect dark bristles. Legs are yellowish-brown, with fine dark spots, whitish-yellow plumose hairs and many dark spines. From a distance the legs appear uniformly coloured. The male is darker and smaller than the female, and with less clear markings.","3-4","4-5","Græsbevoksede områder, især klitter og sandoverdrev, undertiden også heder og moser.","Grassland, especially dunes and other dry sandy areas, sometimes also heathland and fens.",,,"Meget almindelig langs kysterne, især den jyske vestkyst. Sjældnere i indlandet. Kendt fra alle landsdele. Vidt udbredt i Europa men ret ualmindelig væk fra kysterne.","Very common along the Danish coasts, especially the west coast. Much less common away from the coasts. Widespread in Europe but generally uncommon at inland sites.",,
159,41,"formicinus","(Clerck, 1757) ",,,,,"Forkrop med bredt brunligt midterbånd med tæt beklædning af lyse hår som sammenlagt giver en grå farve. På hver side af midterbåndet findes mørkebrune bånd som udadtil er ret uskarpt afgrænsede. Yderst mod kanten bliver forkroppen lys igen. Benene og bagkroppen er ret ensfarvede gulbrune til rødbrune beklædt med lyse hår som samlet giver en grålig farve. Bagkroppen har et meget tydeligt hjertemærke, længere bagtil er der to tandede mørke streger i hver side. Hannen er meget lig hunnen, men noget mindre.","Carapace with wide brownish longitudinal band in the centre, densely clothed with light hairs, overall giving an greyish appearance. On each side indistinct darker bands are followed by lighter lateral bands along the edges of the carapace. The legs and the abdomen are yellowish to reddish-brown, also clothed with light hairs which totals to grey in the same way as the light areas of the carapace. The cardiac mark on the abdomen is very distinct. Further back two lateral dentate lines converge towards the spinnerets. The male is similar to the female, but smaller.","6-7","8-12","Våd og tør hede.","Wet and dry heathland.",,,"Sjælden i Nordjylland med kun to lokaliteter. På den ene lokalitet, Rebild Bakker, er arten ret talrig over et stort område. Vidt udbredt i resten Europa men generelt sjælden. I øvrigt også udbredt i Nordamerika, Asien og Nordafrika.","Rare in Denmark with records from only two localities. Widespread in Europe but generally uncommon.",,
160,41,"arenarius","L. Koch, 1872",,,,,,,,,,,,,,,,
161,42,"maritimus","(Menge, 1875)",,,,,"Meget lig <i>T. oblongus</i> i udseende. Grundfarven er gulbrun. En lang mørk midterstribe strækker sig langs hele dyrets længde. Bagkroppen har endvidere mørke bånd langs siderne. På hver side af midterstriben er der ofte en række mørke punkter. Hos <i>T. oblongus</i> er der som regel kun et eller to par punkter. Hannen er mørkere end hunnen og har lidt mere kontrastrige tegninger.","Often similar to <i>T. oblongus</i> in general appearance. The ground colour is yellow-brown. A darker longitudinal midline stretches along the entire length of the body. Dark bands also stretches along the the sides of the abdomen. A longitudinal row of dark spots are present in each side of the midline. In <i>T. oblongus</i> there are usually only one or two pairs of spots. The male is darker than the female, and exhibit more contrasting markings.","7-8","8-10","Især marehalm og sand-hjelme langs kysterne undertiden også i indlandet, mest på indlandsklitter med grove græsser.","On marram grasses and other coarse grasses along coast, more rarely also at inland sites such as sandhills with coarse grasses.",,,"Almindelig langs kysterne hvor der er egnet habitat, ret sjælden i indlandet. Vidt udbredt i Europa men generelt sjældnere end <i>T. oblongus</i>.","Common along the Danish coast in suitable habitats. Much rarer at inland sites. Widespread in Europe, but less common than <i>T. oblongus</i>.",,
162,42,"oblongus","(Walckenaer, 1802) ","Græsbladsedderkop",,,,"Meget lig <i>T. maritimus</i>, men som regel kun med et til to par pletter bagerst på bagkroppen. Nogle individer kan dog have flere (op til tredive par) og derved være vanskelige at adskille fra <i>T. maritimus</i>, med mindre kønorganerne undersøges under stereolup, og sammenlignes med tegninger fra litteraturen. Hannen er mindre og mørkere, og kan også forveksles med <i>T. maritimus</i>.","Similar in general appearance to <i>T. maritimus</i>, but typically only one or two pairs of spots flank the midline band at the posterior end. Some specimens may posses more spots and thus become indistinguishable from <i>T. maritimus</i>. In this case only examination of the genitialia will provide the correct identity of the species. The male is smaller and darker than the female, and rather similar to the male of <i>T. maritimus</i>.","7-8","8-10","Græsser og andre urter, typisk fugtige enge og græsoverdrev med høj vegetation. Modsat <i>T. maritimus</i> er denne art almindeligst i indlandet og ret sjælden i kysthabitater.","Tall grasses and other herbs in mostly moist conditions. This species is primarily found at inland sites in contrast to <i>T. maritimus</i>.",,,"Almindelig og vidtudbredt i Danmark og Europa.","Common and widespread in Denmark and Europe.",,
164,43,"cingulatus","(Panzer, 1797)","Skovzebraedderkop",,,,,,,,,,,,,,,
165,43,"zebraneus","(C. L. Koch, 1837)",,,,,,,,,,,,,,,,
166,44,"cupreus","(Walckenaer, 1802) ",,,,,,,,,,,,,,,,
167,44,"flavipes","(Hahn, 1832)",,,,,"Hunnen kendes på de meget lyse ben og palper, der kun har få mørke tegninger, der især findes på femora af benpar III og IV. Hannen ligner meget hanner af <i>H. cupreus</i>.","The ligth yellow legs of the female are very much in contrast to the dark body. The few blacks streaks on the legs are usually confined to the femora of legs III and IV. Males are very similar to males of <i>H. cupreus</i>.","3.5-4","5-6","I lav vegetation i mange forskellige habitater.","Low vegetation in a variety of habitats.",,,"Kendt fra alle landsdele og den almindeligste art i slægten, ihvertifald i Vestdanmark. Almindelig og vidt udbredt i resten af Europa,","Recorded from all Denmark and probaly the commonest species of the genus at least in the western parts of the country. Widespread and common in Europe.",,
168,44,"dampfi","Schenkel, 1923",,,,,,,,,,,,,,,,
172,45,"muscosa","(Clerck, 1757) ","Stor springedderkop",,,,"Stor, kraftig behåret edderkop med ret flad krop. Grundfarven er sort men ses ikke altid tydeligt på grund af den tætte behåring, undtagen hos individer der fået hårene gnubbet af. Bagkroppen som regel overvejende lys med sort midterstribe og tværstriber.","Large species with flattened, elongate abdomen, thickly covered with light hairs. The ground colour is black but is usually mostly hidden by the dense hair coverage, unless the hairs have become rubbed off. The abdomen is usually whitish with a black median and some angulate, chevronlike black lines.","6-8","8-10","På og under bark af træstammer og hegnspæle. Undertiden også udvendigt på træhuse og mure.","On and under bark of trees and fences. Sometimes also on the outside of buildings and walls.",,,"Den almindeligste art i slægten, kendt fra næsten alle landsdele. Vidt udbredt i Europa og nogenlunde almindelig.","The commonest species of the genus and fairly common in Denmark and Europe.",,
173,45,"radiata","(Grube, 1859)",,,,,"Samme kropsform som <i>M. muscosa</i> men bagkroppen har to langsgående rustbrune striber på en gulligbrun baggrund. Hvor den normalt tætte hårbeklædning mangler bliver farven sort, som er den underliggende farve.","Similar in bodyform to <i>M. muscosa</i> but the abdomen have two rustybrown stripes on a yellowbrown background. Areas where the hairs have been rubbed off are black, as this is the underlying colour.","6-7","8-10","Primært tagrør, hvor retræter og ægsække anlægges i sammenspundne topgrene. Her træffes arten sommetider sammen med to andre springedderkopper, <i>Synageles venator</i> og <i>Sitticus floricola</i>.","Mainly common reed, where retreats and eggsacs are constructed in the panicles. Here two other salticids are frequently encountered, namely <i>Synageles venator</i> and <i>Sitticus floricola</i>.",,,"Meget sjælden i Danmark med fund fra Sydsjælland. Vidt udbredt i Europa og overordnet set ret sjælden, dog kan arten være lokalt almindelig i nogle regioner.","Very rare in Denmark with records from Southern Zealand. Widespread in Europa, and generally uncommon except locally.",,
174,45,"pomatia","(Walckenaer, 1802)",,,,,,,,,,,,,,,,
175,45,"nivoyi","(Lucas, 1846)","Klitspringedderkop",,,,"Den mindste danske art. Meget karakteristisk udseende med langstrakt krop og meget kraftige, mørke forben. Hannen meget lig hunnen men mørkere.","The smallest Danish species. Very distinctive appearance with long and narrow abdomen. Legs I massive and dark. Male is similar to female but darker.","4-5","4-6","Næsten udelukkende ved basis af marehalm og sand-hjælme ved kysterne.","At the base of marram and other low, mainly coastal vegetation.",,,"Meget almindelig i klitterne ved den jyske vestkyst. Mere lokal ved øvrige danske kyster. Meget sjælden i indlandet. Vidt udbredt i Europa, men sjælden væk fra kysterne.","Very common in the dunes along the Danish west coast. More locally distributed at other coasts. Rare at inland sites. Widespread in Europe but rather uncommon away from coasts.",,
176,46,"rudis","(Sundevall, 1833)",,,,,"Hunnen ret buttet i forhold til hannen, der er mindre, mørkere og med grønlig metalglans. Begge køn har som regel to par tydeligt hvide pletter bagerst på bagkroppen. Hannen har en tværrække af lyse hår over den forreste øjenrække. Hos hunnen er tværrækken under de forreste øjne.","Female plumber than male, which is smaller, darker and with a greenish metallic lustre. Both sexes with two or three pairs of usually distinct  white spots at the posterior end of abdomen. The male has a transverse row of white hairs above the anterior row of eyes, while in the female this row is below the row.","4.5-5","5-6","Grene og stammer af nåletræer.","Stems and branches of conifers.",,,"I Danmark er arten kun kendt fra en enkelt Sjællandsk lokalitet. Sjælden i  Nordeuropa, mere almindelig i lande syd for Danmark.","Rare in Denmark and Northern Europe, commoner to the south of this region.",,
178,48,"tripunctatus","(Walckenaer, 1802) ","Treplettet springedderkop",,,,,,,,,,,,,,,
180,50,"chalybeius","(Walckenaer, 1802) ",,,,,"Lille, kompakt bygget edderkop med lyse ben og karakteristiske bentegninger. Forkrop og bagkrop er mørk rødbrun ret tæt beklædt med lyst gulbrune hår. Bagkroppen har et svagt aftegnet mørkt midterbånd med ligeledes svage og mørke tværbånd. Ben lyse med femora, patella og tibia på benpar I noget mørkere. Ben med iøjnefaldende smalle sorte ringtegninger. Bensegmenterne er af ret ensartet længde. Hos hannen er benpar I kraftigere end de øvrige benpar.","Small, compact spider with pale legs and characteristic leg annulations. The body is dark reddish-brown, rather thickly covered with pale yellow-brown hairs. There is a faint dark midline band on the abdomen with two likewise faint and dark transverse bands.Legs pale except for femora, patella and tibia og legs 1, which are partly or wholly darkened. The pale legs are furnished with some narrow, dark annulations which are very noticable in the field. The leg segments do not differ much in length. The male has legs I stouter than the rest.","3-4","4.5-5","På løvet af især eg, hvor der er varmt, såsom sydvendte klippeskråninger og solbeskinnede skovkanter.","On the leaves of particularly oak trees on south facing slopes or forest edges.",,,"I Danmark kun kendt fra Ekkodalen på Bornholm, hvor den på heroisk vis blev genfundet i 2005. Indtil da var arten i Danmark kun kendt fra et enkelt fund i samme område fra 1906. Sjælden i Nordeuropa, mere almindelig mod syd.","Rare in Denmark where the species was rediscovered i 2005 on the island of Bornholm in the Baltic Sea. The only previous Danish record dates back to 1906. Widespread in Europe, but rare in the north.",,
181,51,"reticulatus","(Blackwall, 1853) ","Dværgspringer",,,,"Hunnens forkrop er brun med mørkere hovedet og spredte lyse hår. Bagkrop brun eller grønlig med sorte nettegninger på bagkroppen, der i midterlinien antager et sildebensmønster. Kun få hvide hår på bagkroppens forreste del. Benene fintmønstrede  mørkebrune og lysebrune med benpar I mørkere. Hannen er mørkere med metalglans på hovedet, og har de to yderste forbensled sorte.","Carapace of female brown with darker head region, sparsely covered with light hairs. Abdomen brown or greenish-brown with black reticulate markings, however rather chevron like in the midline. There are only few light hairs on the abdomen confined to the anterior half. Legs are finely marked with dark brown and light brown markings and with legs I darker. The male is darker than the female, the head has a metallic lustre, and tibia and metarsi of legs I are blackish.","2-2.5","2-3","I lav vegetation og i førn, både fugtigt og tørt i en lang række habitattyper.","In low vegetation and leaf litter in both dry and wet conditions.",,,"Ret almindelig i Danmark især mod vest, hvor der er meget egnet habitat såsom heder, hedemoser, grøn og grå klit og lysåbne skove. Vidt udbredt og ret almindelig i det meste af Europa.","Fairly common in Denmark, particularly in the western parts where there is a lot of suitable habitats such as dry and wet heathland, dunes and open forests. Widespread and common i most of Europe.",,
